Date,Price,Open,High,Low,Vol,Change%
17/01/2022,42223,43084,43194,41465,123326960.5,-0.36%
18/01/2022,42376.97,42221,42690,41204,183937769.7,1.65%
19/01/2022,41676,42373,42596,41158,268913341.6,2.36%
20/01/2022,40692.21,41677,43591,40568.39,208033254.6,10.38%
21/01/2022,36467,40690.35,41132,35471,591653999.9,3.74%
22/01/2022,35104.75,36463.16,36861.57,33854.98,617224811.2,-3.43%
23/01/2022,36308,35108,36556,34654,316458961.8,-1.09%
24/01/2022,36702,36302,37596,32937,847978447,-0.77%
25/01/2022,36986,36706,37584,35751,327817327.4,0.43%
26/01/2022,36828.54,36995,38935,36291.7,392078971.3,-0.99%
27/01/2022,37194,36847.65,37275,35504,258159853.8,-1.52%
28/01/2022,37759.83,37187,38055,36197,173079893.4,-1.11%
29/01/2022,38179.91,37748,38898,37347.69,135401967.2,0.70%
30/01/2022,37914.38,38201.61,38403,37386,77750763.92,-1.54%
31/01/2022,38500,37914,38785,36674,183486501,-0.55%
2001/2/22,38713,38501,39416.42,38000,166093102.3,4.65%
2002/2/22,36913,38717.6,38879,36633,154705905.5,-1.23%
2003/2/22,37366,36923,37410,36267.48,188366209.9,-11.30%
2004/2/22,41588,37367,41753,37070,344152359.1,0.36%
2005/2/22,41438,41588,41956,40979.81,107675460.2,-2.35%
2006/2/22,42412,41441,42739,41169,100237041.6,-3.43%
2007/2/22,43865,42421.82,44540,41699.54,241961414.8,-0.48%
2008/2/22,44077,43865,45400,42709,335877250.2,-0.80%
2009/2/22,44431,44079.55,44865,43160,165012503.4,1.99%
2010/2/22,43545,44437,45899,43222,319115175.9,2.59%
2011/2/22,42418,43549,43965,42010,237971105.9,0.41%
2012/2/22,42244,42422,43036,41715,112483230.3,0.36%
13/02/2022,42090,42241,42789,41915,82113012.2,-1.10%
14/02/2022,42554,42090,42863,41545,203647560.6,-4.72%
15/02/2022,44563,42567,44762,42463,183308212.8,1.47%
16/02/2022,43909,44567,44584,43352,143648727,7.64%
17/02/2022,40555,43896.95,44189,40117,273825481.7,1.30%
18/02/2022,40027.48,40555,40984,39521,187211656.3,-0.25%
19/02/2022,40128,40027,40482,39673,58758260.1,4.21%
20/02/2022,38439,40130,40164.05,38038,135567634.3,3.59%
21/02/2022,37060.86,38437,39555,36829,315267462.6,-3.34%
22/02/2022,38299,37078,38485,36402,237639528.3,2.60%
23/02/2022,37305,38294,39310,37117,216653436.6,-2.89%
24/02/2022,38383,37305,39926,34425,686109113.8,-2.27%
25/02/2022,39253,38380,39744.3,38058,252406059,0.30%
26/02/2022,39137.12,39252,40330,38633,140497515.7,3.58%
27/02/2022,37734.22,39157.96,39892,37051,206708503.5,-14.49%
28/02/2022,43202,37739.65,44268,37496,365009957,-2.87%
2001/3/22,44441,43208,44952,42862,281955191.1,1.10%
2002/3/22,43952,44442,45470,43378.83,244939341.4,3.33%
2003/3/22,42489,43946,44112.34,41856,165169406.4,7.81%
2004/3/22,39171,42489,42559.01,38621,249927887.8,-0.63%
2005/3/22,39419,39170.83,39628,38625,86286701.55,2.49%
2006/3/22,38437.05,39414,39716,38120,129459990.9,1.08%
2007/3/22,38021,38437.05,39583,37181.76,257960072.6,-1.94%
2008/3/22,38757,38018.58,39398,37888,213644256,-8.31%
2009/3/22,41976,38764,42607,38692.18,250376258.5,6.01%
2010/3/22,39455,41968,42069,38633,263340133.7,1.82%
2011/3/22,38737,39454,40239,38230,370585129.7,-0.20%
2012/3/22,38814,38739,39447,38679,70185705.95,2.67%
13/03/2022,37776,38815,39325,37577,129233743.9,-5.12%
14/03/2022,39711.32,37779,40005.03,37450,319548886.2,0.99%
15/03/2022,39316.65,39717,39966,38168,208486640.3,-4.63%
16/03/2022,41138,39323,41788,38878,351470590.1,0.48%
17/03/2022,40942.58,41139,41499,40542,93557532.27,-2.05%
