Date,Price,Open,High,Low,Vol
5/10/21,441.86,426.19,444.16,423.63,738030816.6
6/10/21,434.59,441.87,442.46,414.5,926982883.6
7/10/21,438.26,434.6,450.67,422.84,878429641.7
8/10/21,419.38,438.26,441.63,416.01,911875641.4
9/10/21,422.31,419.38,426.15,416.17,406005254.1
10/10/21,404.1,422.31,422.58,401.33,568834845.1
11/10/21,413.36,404.11,424.46,399.74,582833751.7
12/10/21,444.72,413.36,445,392.14,1964065617
13/10/2021,470.18,444.73,471.77,433,3214234566
14/10/2021,472.05,470.17,482.27,460.11,1171119424
15/10/2021,474.19,472.04,477.4,451.48,1152086775
16/10/2021,465.01,474.18,485,455,815090711.9
17/10/2021,470.82,465.02,471.23,451.84,620943063.8
18/10/2021,484.64,470.74,487.67,465.55,969124188.6
19/10/2021,487.01,484.6,497.5,478.21,828320571.7
20/10/2021,500.76,486.99,506.66,480,783096885.9
21/10/2021,471.35,500.77,505.46,464.62,1565062776
22/10/2021,479.79,471.31,498.51,471.24,998464854.4
23/10/2021,486.17,479.77,486.27,473.14,418885462.8
24/10/2021,476.29,486.2,487,468.19,411646222.2
25/10/2021,485.4,476.29,489.03,475.32,403735337.8
26/10/2021,478.48,485.41,490.7,473.57,473312299.8
27/10/2021,448.65,478.5,486.89,429.9,1015080174
28/10/2021,492.08,448.65,495.05,446.5,999405759.6
29/10/2021,530.72,492.09,534.3,487.32,1141866446
30/10/2021,528.95,530.73,541.61,510.45,797657532.5
31/10/2021,524.42,528.96,535.39,508.07,666142963.4
1/11/21,551.12,524.44,551.8,511,923536484.1
2/11/21,554.59,551.11,564.28,537.2,687216073.8
3/11/21,568.48,554.63,570,537.62,799768280.1
4/11/21,558.86,568.48,568.82,543.97,626348271.3
5/11/21,606.43,558.87,618.32,554.51,1707542583
6/11/21,637.56,606.43,638,595.22,1274224431
7/11/21,649.57,637.55,669.75,630,1628394564
8/11/21,653.56,649.56,655.87,632.32,1104571139
9/11/21,635.2,653.54,656.93,632.66,711490969.2
10/11/21,613.61,635.21,662.8,570,1642697291
11/11/21,628.21,613.61,635,605.31,731407891.4
12/11/21,626.27,628.17,634.36,602.29,812453681.9
13/11/2021,648.49,626.27,654.5,618.67,701866200.7
14/11/2021,650.2,648.49,659.98,634,745587838
15/11/2021,633.44,650.28,659.28,630,663841318.8
16/11/2021,588.76,633.45,634.5,568,1731510609
17/11/2021,578.41,588.73,592.87,554,1027672524
18/11/2021,532.13,578.4,588.47,516.36,1135516860
19/11/2021,580.98,532.2,585.72,524.2,951864949.2
20/11/2021,604.66,580.98,604.94,573.3,734588584.6
21/11/2021,584.2,604.62,605.43,580.27,550152966.1
22/11/2021,559.79,584.25,585.54,554.21,761127947.2
23/11/2021,591.6,559.78,605.7,558.16,927092256.5
24/11/2021,590.56,591.59,594.95,577.31,783531278.6
25/11/2021,639.3,590.56,647.49,587.67,1169302527
26/11/2021,587.71,639.35,658.94,564.49,2034537738
27/11/2021,600.19,587.65,621.16,583.9,989638267.9
28/11/2021,611.52,600.18,612.99,571.8,1076056017
29/11/2021,624.25,611.45,629.71,602.25,853791124.4
30/11/2021,622.59,624.25,635.4,603.76,1115552459
1/12/21,627.45,622.65,650.75,619.23,1141581459
2/12/21,620.37,627.45,630.95,605.5,847433918.5
3/12/21,595.17,620.37,628.29,570.77,1034168950
4/12/21,568.07,595.18,596.29,484.18,1668132596
5/12/21,557.65,568.07,581.63,541.1,805246947.1
6/12/21,586.8,557.64,592.69,533.22,1298647783
7/12/21,578.34,586.77,592.59,571.45,726054542.4
8/12/21,607.05,578.34,607.23,566.42,796766810.6
9/12/21,569.26,607.05,616.68,567.29,832234952
10/12/21,551.94,569.27,593.94,550,801979128.6
11/12/21,564.12,551.85,572.51,541.41,612271733.4
12/12/21,569.58,564.11,574.41,558.51,406373122.6
13/12/2021,520.75,569.59,571.65,510.55,751560587.9
14/12/2021,527.86,520.77,534.9,509.78,813821402.7
15/12/2021,541.18,527.83,546.54,501.5,817012417.9
16/12/2021,526,541.21,545.34,524.65,509000515.1
17/12/2021,525.5,526.01,536.04,510.81,628868708.9
18/12/2021,533.68,525.51,537.87,516.58,395589074.8
19/12/2021,529.71,533.68,544.82,527.42,368001699.4
20/12/2021,523.96,529.72,534.93,506,462766022.2
21/12/2021,528.46,523.96,536.01,517.17,414496678.4
22/12/2021,533.74,528.51,545.49,527.25,458109670.1
23/12/2021,548.92,533.75,552.46,524.33,504218564.9
24/12/2021,542.2,548.94,554.46,537.08,447545463.7
25/12/2021,547.5,542.21,550.95,539.29,289164731.9
26/12/2021,546.43,547.5,549,536,336133901
27/12/2021,563.79,546.5,571.99,543.2,543570069.9
28/12/2021,534.13,563.79,563.98,528.31,701143879.3
29/12/2021,514.49,534.12,540.55,510.09,409872878.2
30/12/2021,518.41,514.49,527.59,508,376085142.5
31/12/2021,511.56,518.4,528,506.01,464024529.6
1/1/22,527.34,511.55,528.16,511.43,313448234.2
2/1/22,530.91,527.36,533.9,518.01,300965349.6
3/1/22,512.24,530.92,533,510.41,415267551.5
4/1/22,506.88,512.24,519.85,502,533189808.1
5/1/22,473.95,506.88,515.92,456.2,717300047.3
6/1/22,472.46,474,480.96,458.65,608913792.9
7/1/22,448.1,472.47,473.76,437.08,678793229.9
8/1/22,429.59,448.1,459.65,415.46,547408923.3
